Feature,Coefficient,Standard Error,Year
ln_coastline_area,0.1983799676643,0.10972345134558477,2018
ln_avg_oil_pop,0.5277489477863354,0.098526947112118,2018
ln_pop_dens_1400,-0.3252226789968998,0.11278030840298979,2018
red_sea_distance_minimum,0.13445571105281567,0.09960403231503547,2018
Intercept,7.353608760555328,0.09989918894011793,2019
ln_export_area,-0.3558919837420265,0.10565622754081526,2019
ln_coastline_area,0.2332305716059665,0.10925732835500704,2019
ln_avg_oil_pop,0.49550671585883344,0.09793244589349269,2019
ln_pop_dens_1400,-0.3283777078467958,0.11149414716628486,2019
Intercept,7.281192114609868,0.09852983397857157,2020
ln_export_area,-0.340212998985835,0.10420795873166594,2020
ln_coastline_area,0.23702781815508256,0.10775969793122142,2020
ln_avg_oil_pop,0.43605712263602686,0.09659004980295977,2020
ln_pop_dens_1400,-0.28456831671907284,0.109965855843549,2020
Intercept,7.377377457589458,0.09956098257902403,2021
ln_export_area,-0.3525895943016784,0.10585425723342061,2021
ln_coastline_area,0.2211072270541552,0.10889080611793336,2021
ln_avg_oil_pop,0.4605575519227003,0.0977792674565667,2021
ln_pop_dens_1400,-0.2815554595488004,0.1119244659699165,2021
red_sea_distance_minimum,0.13049727580357284,0.09884817911186983,2021
