,ln_export_area,ln_export_pop,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,LN_GDPPC$_2021,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,LNYR1990,LNYR1991,LNYR1992,LNYR1993,LNYR1994,LNYR1995,LNYR1996,LNYR1997,LNYR1998,LNYR1999,LNYR2000,LNYR2001,LNYR2002,LNYR2003,LNYR2004,LNYR2005,LNYR2006,LNYR2007,LNYR2008,LNYR2009,LNYR2010,LNYR2011,LNYR2012,LNYR2013,LNYR2014,LNYR2015,LNYR2016,LNYR2017,LNYR2018,LNYR2019,LNYR2020
2010,,12.24951597335961,95.86124303725376,,-37.26925108126931,-12.759702631356594,,66.44668501478064,,10.635114223360203,,,-18.076696459020738,,14.687561083173572,,,59.722589672774966,160.1110460698986,,,,,,,76.6796681069474,,2260.7420980003726,107.52055274131226,,-25.403386673440544,-3.304371600625047,80.04313433034389,893.4019256069648,,722.6316373475487,-45.08377795845511,,,,,,,,,-109.84571512152236,,,,,,,,,,755.6296144901679,807.8678526069228,,21.360047696028634,,,,-280.11552833353414,,,,-898.7626914659662
2011,,0.0,,,-159.08400414862055,,,,83.25830366995523,111.55573987846977,,,,,25.95330399013356,,,83.412033438005,282.172282319578,6.311549421353393e-15,,6.311549421353393e-15,,,,234.63329273955844,,2744.577573896851,158.66487578259859,-21.04286931108508,,,62.91625314170369,1202.3300656592394,,119.0568893934052,,,,,,,,,,-194.8074888902903,-203.42756971121963,,,,,,,,0.0,1298.1947250584221,504.7438525940521,,218.69589495649126,,,,-416.79369929018935,,,,-1127.070251390212
2012,,5.566325120277247,27.954610479707828,,-60.9511351382312,,,,22.496286128443394,101.91508347841265,,,,-121.54477987145651,,,,,228.47187841561762,-61.04968019555668,0.0,-61.04968019555668,0.0,,,235.73080301195134,39.407807288043756,2706.9512071165104,143.6779107426921,-55.50600997504144,-84.56661270850657,,0.0,1168.9932574050335,,1161.7569163690575,,,,,-75.04296609649894,,-70.51711943732347,,,-255.85733385439437,,,,,,,,,,,542.2512621188943,,1467.4626939379098,,,,-531.2320209613987,,,,-995.0363594527546
2013,,147.25916978961183,,170.6255689924634,98.52578315155549,-40.24758400472189,-1.5423127955710103,-76.31453039034257,38.80769791196288,98.26369783677492,,,0.0,-7.640188138375229,,-19.79740322971991,70.68175756466621,-60.49891466434097,74.25322284252849,-2.351762223820897,58.645740080134324,-2.351762223820897,58.645740080134324,,,,120.61380030289754,3104.1942814837626,108.85319030223864,-170.54948832042686,-169.93585186368006,67.39201035420649,,909.1189412340987,,720.4935478694833,-487.7411195269337,,356.26222336981675,,-165.69218685811342,,,,,-140.6969282138458,,,,,,,,,,,,,0.0,2023.270167158218,,,,,,,-1618.7617859201675
2014,,89.8525097499643,,268.5656459589189,132.41712541870814,-12.978527466243174,,-259.2908359617452,,91.52606574990503,,,,-229.91803013450027,,-40.36877700030851,95.07142108433212,-151.58118391264892,34.3328786885065,-4.04906643897333,0.0,-4.04906643897333,0.0,,,,186.1661805542833,3147.946995163603,216.8119435084622,-19.8939251085007,-96.9267764342806,162.72557347240692,,797.2490528610947,,303.7219652863232,-255.71189208221045,,,,,-56.07378967216792,,,,-264.3326287271631,,,297.82972240482394,,,,,,,,,,44.079578888957165,1671.093649609809,,,,,,,-1424.815617202957
2015,,93.77979750972662,-70.53641353631521,547.3213861940972,187.65292863510183,-49.11401239387375,,-5.573836720595373,,54.03081533747749,,,,-191.28093651067354,18.79726308726286,-337.96390578753005,,-69.44736653847374,-206.99904184617333,-4.796777560228579e-12,,-4.796777560228579e-12,,,200.27992235330206,,156.4516902344344,2857.7911829738914,86.99472904116914,-66.87382553321174,-103.18293492206205,,65.87381021124808,65.40917398653653,,282.21292691504,-390.5732419364601,,,,,,-86.859416557113,,,,,,,,,,,,,,,,,5.252960714998455,,2004.2582568650405,,,,,-1674.777882496356
2016,,,,,245.61110937371626,-288.2101399560887,,,-9.707812846950098,,,,,-280.4086066422657,,,-109.60289205901623,-82.77275225326285,,-0.0,,-0.0,,68.15135585437356,,,,2771.3904918952812,,,-234.98963922790003,,,133.49988390534412,,221.8983347510153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,67.56377578828584,85.50785870804117,141.36876011190438,164.53582582010705,-55.20435798511768,,,65.55343012937902,,,,,-152.98338656539613,193.02371613975166,,,-94.06351284669329,-174.99470840232308,-185.65631715639745,,-185.65631715639745,,,,,,3062.1788475638714,,,-195.20386681407984,-55.528122968053395,,-0.0,,582.264372270455,,202.99133303690724,,,,,-515.1360810620394,,,,,,214.56821792960807,,,,,,,,,,,,,822.2356961607218,,503.5459325993507,,,-1334.205807859767
2018,,,,159.02330286003692,,,,,194.6204125678645,,,,,,,,,-3.326967739266591,,-93.61810537822585,,-93.61810537822585,,,,,,2938.466152020688,,,,,,103.29348439312598,,751.3417310699281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,151.9798397787072,,,300.88080367551674,75.0023151817268,,,,215.3625481512483,,,,,-44.389404201135704,236.40919118116074,,-75.2773937047069,-57.95453817923017,,-137.79634147591673,,-137.79634147591673,,,,,,3036.037363080891,,,-96.0635208905423,,115.22424736055827,,,577.8791759274372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,56.55070901588198,,,,,107.05605563805176,,,,,-77.78159233092327,,,-98.7548917479616,-40.108212275793704,,-5.9609077868337605e-15,,-5.9609077868337605e-15,,,,,,2291.647557345651,,,,-16.10098443448015,,,,239.44676637208883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
